rank,score,year,tags,query,title,venue,doi,url,type,abstract
628,4,2023,,robot foundation model,Towards Generalist Foundation Model for Radiology,,10.21203/rs.3.rs-3324530/v1,https://doi.org/10.21203/rs.3.rs-3324530/v1,posted-content,"<title>Abstract</title>
        <p>In this study, we aim to initiate the development of Radiology Foundation Model, termed as RadFM.We consider the construction of foundational models from the perspectives of dataset construction, model design, and thorough evaluation. Our contribution can be concluded as follows: (i), we construct a large-scale Medical Multi-modal Dataset, MedMD, which consists of 16M 2D and 3D medical scans with high-quality text descriptions or reports across various data for"
629,4,2023,,contact-rich manipulation,Unified Human–Robot–Environment Interaction Control in Contact-Rich Collaborative Manipulation Tasks via Model-Based Reinforcement Learning,IEEE Transactions on Industrial Electronics,10.1109/tie.2022.3227279,https://doi.org/10.1109/tie.2022.3227279,journal-article,
630,4,2023,,robot grasping learning,Visual-Based Deep Reinforcement Learning for Robot Grasping with Pushing,2023 38th Youth Academic Annual Conference of Chinese Association of Automation (YAC),10.1109/yac59482.2023.10401687,https://doi.org/10.1109/yac59482.2023.10401687,proceedings-article,
631,4,2023,,robot tactile perception,Visual–Tactile Perception of Biobased Composites,Materials,10.3390/ma16051844,https://doi.org/10.3390/ma16051844,journal-article,"<jats:p>Biobased composites offer unique properties in the context of sustainable material production as well as end-of-life disposal, which places them as viable alternatives to fossil-fuel-based materials. However, the large-scale application of these materials in product design is hindered by their perceptual handicaps and understanding the mechanism of biobased composite perception, and its constituents could pave the way to creating commercially successful biobased composites. This study ex"
632,4,2022,,embodiment generalization robotics,6 Embodiment,Collaborative Research in Theory and Practice,10.56687/9781529215120-014,https://doi.org/10.56687/9781529215120-014,book-chapter,
633,4,2022,,contact-rich manipulation,A Contact-Safe Reinforcement Learning Framework for Contact-Rich Robot Manipulation,2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros47612.2022.9981185,https://doi.org/10.1109/iros47612.2022.9981185,proceedings-article,
634,4,2022,,multimodal robot learning,A Framework and Algorithm for Human-Robot Collaboration Based on Multimodal Reinforcement Learning,Computational Intelligence and Neuroscience,10.1155/2022/2341898,https://doi.org/10.1155/2022/2341898,journal-article,"<jats:p>Despite the emergence of various human-robot collaboration frameworks, most are not sufficiently flexible to adapt to users with different habits. In this article, a Multimodal Reinforcement Learning Human-Robot Collaboration (MRLC) framework is proposed. It integrates reinforcement learning into human-robot collaboration and continuously adapts to the user's habits in the process of collaboration with the user to achieve the effect of human-robot cointegration. With the user's multimoda"
635,4,2022,,robot grasping learning,A Method of Robot Grasping Based on Reinforcement Learning,Journal of Physics: Conference Series,10.1088/1742-6596/2216/1/012026,https://doi.org/10.1088/1742-6596/2216/1/012026,journal-article,"<jats:title>Abstract</jats:title>
               <jats:p>In this paper, we propose a method for robot grasping based on reinforcement learning. A six-degree-of-freedom robot is used to execute the grasping action, and an RGB-D camera is used as a sensing module to collect the information. Different from previous model-based methods, our whole system is data-driven. In order to better grasp a bunch of randomly placed objects, the pushing action is added to spare more space for grasping. The whole"
636,4,2022,,robot manipulation scaling,A survey of robot manipulation in contact,Robotics and Autonomous Systems,10.1016/j.robot.2022.104224,https://doi.org/10.1016/j.robot.2022.104224,journal-article,
637,4,2022,,contact-rich manipulation,A System for Imitation Learning of Contact-Rich Bimanual Manipulation Policies,2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros47612.2022.9981802,https://doi.org/10.1109/iros47612.2022.9981802,proceedings-article,
638,4,2022,,contact-rich manipulation,Adaptive Compliant Skill Learning for Contact-Rich Manipulation With Human in the Loop,IEEE Robotics and Automation Letters,10.1109/lra.2022.3159163,https://doi.org/10.1109/lra.2022.3159163,journal-article,
639,4,2022,,embodied intelligence scaling,Author Correction: Embodied neuromorphic intelligence,Nature Communications,10.1038/s41467-022-29119-5,https://doi.org/10.1038/s41467-022-29119-5,journal-article,
640,4,2022,,sim-to-real robotics,Bayesian Active Learning for Sim-to-Real Robotic Perception,2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros47612.2022.9982175,https://doi.org/10.1109/iros47612.2022.9982175,proceedings-article,
641,4,2022,,robot reinforcement learning,Behavior-Aware Robot Navigation with Deep Reinforcement Learning,2022 6th International Conference on Computation System and Information Technology for Sustainable Solutions (CSITSS),10.1109/csitss57437.2022.10026363,https://doi.org/10.1109/csitss57437.2022.10026363,proceedings-article,
642,4,2022,,robot tactile perception,Bioinspired robot skin with mechanically gated electron channels for sliding tactile perception,Science Advances,10.1126/sciadv.ade0720,https://doi.org/10.1126/sciadv.ade0720,journal-article,"<jats:p>Human-like tactile perception is critical for promoting robotic intelligence. However, reproducing tangential “sliding” perception of human skin is still struggling. Inspired by the lateral gating mechanosensing mechanism of mechanosensory cells, which perceives mechanical stimuli by lateral tension–induced opening-closing of ion channels, we report a robot skin (R-skin) with mechanically gated electron channels, achieving ultrasensitive and fast-response sliding tactile perception via p"
643,4,2022,,sim-to-real robotics,Closing the Reality Gap with Unsupervised Sim-to-Real Image Translation,Lecture Notes in Computer Science RoboCup 2021: Robot World Cup XXIV,10.1007/978-3-030-98682-7_11,https://doi.org/10.1007/978-3-030-98682-7_11,book-chapter,
644,4,2022,,contact-rich manipulation,Contact-consistent visual object pose estimation for contact-rich robotic manipulation tasks,Assembly Automation,10.1108/aa-10-2021-0128,https://doi.org/10.1108/aa-10-2021-0128,journal-article,"<jats:sec>
<jats:title content-type=""abstract-subheading"">Purpose</jats:title>
<jats:p>The purpose of this paper is to estimate the contact-consistent object poses during contact-rich manipulation tasks based only on visual sensors.</jats:p>
</jats:sec>
<jats:sec>
<jats:title content-type=""abstract-subheading"">Design/methodology/approach</jats:title>
<jats:p>The method follows a four-step procedure. Initially, the raw object poses are retrieved using the available object pose estimation method a"
645,4,2022,,contact-rich manipulation,Contact-Rich Manipulation of a Flexible Object based on Deep Predictive Learning using Vision and Tactility,2022 International Conference on Robotics and Automation (ICRA),10.1109/icra46639.2022.9811940,https://doi.org/10.1109/icra46639.2022.9811940,proceedings-article,
646,4,2022,,robot 3D perception,Convolution Neural Network Based Human and Robot Collaboration for 3D Scene Perception,Arid-zone Journal of Basic &amp; Applied Research,10.55639/607ztnhb,https://doi.org/10.55639/607ztnhb,journal-article,"<jats:p>The approach of algorithmic operation of the Convolutional Neural Network (ConvNet/CNN) is like that of Deep Learning. The algorithm receives input instruction as an image by assigning characteristics of learnable weights and preferences on all inputs (aspects/objects) to the image. These features enable scalable input processing and effective differentiation and assignment of input and output images. For pre-processing requirements, ConvNet uses significantly low attributes as compared "
647,4,2022,,robot reinforcement learning,Cooperative Multi-Robot Hierarchical Reinforcement Learning,International Journal of Advanced Computer Science and Applications,10.14569/ijacsa.2022.0130904,https://doi.org/10.14569/ijacsa.2022.0130904,journal-article,
648,4,2022,,robot reinforcement learning,Deep Reinforcement Learning for Humanoid Robot Behaviors,Journal of Intelligent &amp; Robotic Systems,10.1007/s10846-022-01619-y,https://doi.org/10.1007/s10846-022-01619-y,journal-article,
649,4,2022,,embodied intelligence scaling,Designing Prosthetic Hands With Embodied Intelligence: The KIT Prosthetic Hands,Frontiers in Neurorobotics,10.3389/fnbot.2022.815716,https://doi.org/10.3389/fnbot.2022.815716,journal-article,<jats:p>Hand prostheses should provide functional replacements of lost hands. Yet current prosthetic hands often are not intuitive to control and easy to use by amputees. Commercially available prostheses are usually controlled based on EMG signals triggered by the user to perform grasping tasks. Such EMG-based control requires long training and depends heavily on the robustness of the EMG signals. Our goal is to develop prosthetic hands with semi-autonomous grasping abilities that lead to more 
650,4,2022,,robot reinforcement learning,Distributed Reinforcement Learning for Robot Teams: a Review,Current Robotics Reports,10.1007/s43154-022-00091-8,https://doi.org/10.1007/s43154-022-00091-8,journal-article,
651,4,2022,,embodied intelligence scaling,Editorial Introduction to the Special Issue on Embodied Intelligence,Artificial Life,10.1162/artl_e_00386,https://doi.org/10.1162/artl_e_00386,journal-article,
652,4,2022,,embodiment generalization robotics,"Editorial: Embodiment and Co-adaptation Through Human-Machine Interfaces: At the Border of Robotics, Neuroscience and Psychology",Frontiers in Neurorobotics,10.3389/fnbot.2022.871785,https://doi.org/10.3389/fnbot.2022.871785,journal-article,
653,4,2022,,embodied intelligence scaling,Embodied artificial intelligence in science fiction,Prometeica - Revista de Filosofía y Ciencias,10.34024/prometeica.2022.especial.13633,https://doi.org/10.34024/prometeica.2022.especial.13633,journal-article,"<jats:p>In this paper, I explore the fruitful relationship between science fiction and philosophy regarding the topic of artificial intelligence. I establish a connection between certain paradigms in the philosophy of mind and consciousness and the imagination of possible future scenarios in sci-fi, especially focusing on the different ways of conceiving the role of corporeality in constituting consciousness and cognition. Then, I establish a parallelism between these different conceptions of co"
654,4,2022,,embodied intelligence scaling,Embodied Artificial Intelligence: Enabling the Next Intelligence Revolution,IOP Conference Series: Materials Science and Engineering,10.1088/1757-899x/1261/1/012001,https://doi.org/10.1088/1757-899x/1261/1/012001,journal-article,"<jats:title>Abstract</jats:title>
               <jats:p>There has been a long-standing debate about the extent to which the human mind controls the human body and vice-versa. Today this debate still powers a profound scientific desire to deepen our understanding of the nature of both humans' and animals' intelligent, adaptive behavior. In order to gain further insights into intelligence and explore how our brain and bodies develop through physical interactions with the world, Embodied Intellige"
655,4,2022,,embodied intelligence scaling,"Embodied Intelligence in Physical, Social and Technological Environments",IOP Conference Series: Materials Science and Engineering,10.1088/1757-899x/1261/1/012024,https://doi.org/10.1088/1757-899x/1261/1/012024,journal-article,"<jats:title>Abstract</jats:title>
               <jats:p>The aim of this contribution is to highlight different aspects of embodied intelligence that add to a broader interdisciplinary perspective on this phenomenon. This article intends to bring together three forms of embodied intelligence from the fields of technology and social research, starting from robotics research that deals with the technical replication of organic bodies, to insights from the sociology of the body outlining the releva"
656,4,2022,,embodied intelligence scaling,Embodied Intelligence in Plants,IOP Conference Series: Materials Science and Engineering,10.1088/1757-899x/1261/1/012003,https://doi.org/10.1088/1757-899x/1261/1/012003,journal-article,"<jats:title>Abstract</jats:title>
               <jats:p>Envisioning a rethink of the design of robotic systems is necessary for a step-change in developing more sustainable and efficient artificial machines. Recent trends in robotics have embraced the idea of taking inspiration from plants to create energy-efficient components, self-morphing growing robots, biodegradable robots, and the definition of novel models of embodied intelligence and morphological computation. Plants can move and grow i"
657,4,2022,,embodied intelligence scaling,Embodied Intelligence in soft robotics: joys and sorrows,IOP Conference Series: Materials Science and Engineering,10.1088/1757-899x/1261/1/012002,https://doi.org/10.1088/1757-899x/1261/1/012002,journal-article,"<jats:title>Abstract</jats:title>
               <jats:p>Embodied intelligence and soft robotics are strictly interconnected, as soft bodyware is key to obtain emergent behaviours from external interactions. The overall advantages of embodied intelligence in robotics are balanced by additional challenges in robot design and control. A main contribution of embodied intelligence to robotics consists of simplifying principles for robot control, in terms of control parameters. At the same time, robo"
658,4,2022,,embodied intelligence scaling,Embodied neuromorphic intelligence,Nature Communications,10.1038/s41467-022-28487-2,https://doi.org/10.1038/s41467-022-28487-2,journal-article,<jats:title>Abstract</jats:title><jats:p>The design of robots that interact autonomously with the environment and exhibit complex behaviours is an open challenge that can benefit from understanding what makes living beings fit to act in the world. Neuromorphic engineering studies neural computational principles to develop technologies that can provide a computing substrate for building compact and low-power processing systems. We discuss why endowing robots with neuromorphic technologies – from 
659,4,2022,,embodiment generalization robotics,Embodiment,Collaborative Research in Theory and Practice,10.2307/j.ctv2tjdgz8.11,https://doi.org/10.2307/j.ctv2tjdgz8.11,book-chapter,
660,4,2022,,embodiment generalization robotics,Embodiment,Collaborative Research in Theory and Practice,10.1332/policypress/9781529215090.003.0011,https://doi.org/10.1332/policypress/9781529215090.003.0011,book-chapter,"<p>In our project, ethnographic methods of participant observation and interviews were infused with arts-based methods of creating artefacts – collaging, impromptu video making, shared text-making, photography; these practices, as they become normalized within our research ethos, served as ‘weirs’ and interrupted the flow of received meanings that are embedded often in the labels ascribed to young people by the systems of schooling and justice. Embodiment is a word that tries to capture what is "
661,4,2022,,embodiment generalization robotics,Embodiment,The Routledge Handbook of Feminist Bioethics,10.4324/9781003016885-11,https://doi.org/10.4324/9781003016885-11,book-chapter,
662,4,2022,,embodiment generalization robotics,Embodiment,,10.1024/86218-000,https://doi.org/10.1024/86218-000,monograph,"<jats:p>Warum fällt es vielen Menschen so schwer, achtsam mit dem eigenen Körper umzugehen? Warum ist das Befassen mit dem eigenen Körper oft mit Peinlichkeit besetzt? Warum gilt nur als intelligent, wer Würfel im Raum drehen und lange Wörterlisten auswendig lernen kann? Warum geben Menschen die Autorität über ihren physischen Körper so bereitwillig ab an eine Wissenschaft, die ihn in scheinbar unzusammenhängende Einzelteile aufteilt?
            Maja Storch, Benita Cantieni, Gerald Hüther und W"
663,4,2022,,embodiment generalization robotics,Embodiment,Narrative Inquiry,10.5040/9781350142084.ch-003,https://doi.org/10.5040/9781350142084.ch-003,book-chapter,
664,4,2022,,embodiment generalization robotics,Embodiment,"Handbook of Anger, Aggression, and Violence",10.1007/978-3-030-98711-4_30-1,https://doi.org/10.1007/978-3-030-98711-4_30-1,book-chapter,
665,4,2022,,embodiment generalization robotics,Embodiment,Collaborative Research in Theory and Practice,10.51952/9781529215120.ch011,https://doi.org/10.51952/9781529215120.ch011,book-chapter,
666,4,2022,,embodiment generalization robotics,Embodiment,Handbuch Körpersoziologie 1,10.1007/978-3-658-33300-3_5,https://doi.org/10.1007/978-3-658-33300-3_5,book-chapter,
667,4,2022,,embodiment generalization robotics,Embodiment,The Routledge Companion to Literature and Emotion,10.4324/9780367809843-7,https://doi.org/10.4324/9780367809843-7,book-chapter,
668,4,2022,,embodiment generalization robotics,Embodiment,Talking with Children,10.1017/9781108979764.005,https://doi.org/10.1017/9781108979764.005,book-chapter,
669,4,2022,,embodiment generalization robotics,"Embodiment and Co-Adaptation Through Human-Machine Interfaces: at the Border of Robotics, Neuroscience and Psychology",Frontiers Research Topics,10.3389/978-2-88974-925-6,https://doi.org/10.3389/978-2-88974-925-6,book,
670,4,2022,,embodiment generalization robotics,Embodiment in Cognitive Science and Robotics,Cognitive Robotics,10.7551/mitpress/13780.003.0016,https://doi.org/10.7551/mitpress/13780.003.0016,book-chapter,
671,4,2022,,embodiment generalization robotics,"Ethics &amp; Robotics, Embodiment and Vulnerability",International Journal of Social Robotics,10.1007/s12369-022-00869-y,https://doi.org/10.1007/s12369-022-00869-y,journal-article,
672,4,2022,,robot locomotion scaling,Exploiting Friction Anisotropy for Soft Robot Locomotion,Lecture Notes in Networks and Systems Robotics in Natural Settings,10.1007/978-3-031-15226-9_10,https://doi.org/10.1007/978-3-031-15226-9_10,book-chapter,
673,4,2022,,robot planning learning,Improved reinforcement learning algorithm for mobile robot path planning,ITM Web of Conferences,10.1051/itmconf/20224702030,https://doi.org/10.1051/itmconf/20224702030,journal-article,"<jats:p>In order to solve the problem that traditional Q-learning algorithm has a large number of invalid iterations in the early convergence stage of robot path planning, an improved reinforcement learning algorithm is proposed. Firstly, the gravitational potential field in the improved artificial potential field algorithm is introduced when the Q table is initialized to accelerate the convergence. Secondly, the Tent Chaotic Mapping algorithm is added to the initial state determination process "
674,4,2022,,sim-to-real robotics,Inferring material properties from CFRP processes via Sim-to-Real learning,,10.21203/rs.3.rs-2186337/v1,https://doi.org/10.21203/rs.3.rs-2186337/v1,posted-content,"<title>Abstract</title>
        <p>Carbon fiber reinforced polymers provide favorable properties such as weight-specific strength and stiffness that are central for certain industries, such as aerospace or automotive manufacturing. Liquid composite molding (LCM) is a family of often employed, inexpensive, out-of-autoclave manufacturing techniques. Among them, resin transfer molding (RTM), offers a high degree of automation. Herein, textile preforms are saturated by a fluid polymer matrix in a cl"
675,4,2022,,robot self-supervised learning,Intrinsically Motivated Self-supervised Learning in Reinforcement Learning,2022 International Conference on Robotics and Automation (ICRA),10.1109/icra46639.2022.9812213,https://doi.org/10.1109/icra46639.2022.9812213,proceedings-article,
676,4,2022,,embodied intelligence scaling,Language and Intelligence: A Relationship Supporting the Embodied Cognition Hypothesis,Journal of Intelligence,10.3390/jintelligence10030042,https://doi.org/10.3390/jintelligence10030042,journal-article,"<jats:p>Cognitive science has gathered robust evidence supporting the hypothesis that cognitive processes do not occur in an amodal format but take shape through the activation of the sensorimotor systems of the agent body, which works as simulation system upon which concepts, words, and thought are based. However, studies that have investigated the relationship between language and cognitive processes, as both embedded processes, are very rare. In this study, we investigated the hypothesis that"
677,4,2022,,robot reinforcement learning,Learning the Quadruped Robot by Reinforcement Learning (RL),Iraqi Journal for Electrical and Electronic Engineering,10.37917/ijeee.18.2.15,https://doi.org/10.37917/ijeee.18.2.15,journal-article,"<jats:p>In this paper, a simulation was utilized to create and test the suggested controller and to investigate the ability of a quadruped robot based on the SimScape-Multibody toolbox, with PID controllers and deep deterministic policy gradient DDPG Reinforcement learning (RL) techniques. A quadruped robot has been simulated using three different scenarios based on two methods to control its movement, namely PID and DDPG. Instead of using two links per leg, the quadruped robot was constructed w"
678,4,2022,,robot tactile perception,Lifelong robotic visual-tactile perception learning,Pattern Recognition,10.1016/j.patcog.2021.108176,https://doi.org/10.1016/j.patcog.2021.108176,journal-article,
679,4,2022,,contact-rich manipulation,Manipulation of unknown objects via contact configuration regulation,2022 International Conference on Robotics and Automation (ICRA),10.1109/icra46639.2022.9811713,https://doi.org/10.1109/icra46639.2022.9811713,proceedings-article,
680,4,2022,,embodied intelligence scaling,Mechanical intelligence for learning embodied sensor-object relationships,Nature Communications,10.1038/s41467-022-31795-2,https://doi.org/10.1038/s41467-022-31795-2,journal-article,"<jats:title>Abstract</jats:title><jats:p>Intelligence involves processing sensory experiences into representations useful for prediction. Understanding sensory experiences and building these contextual representations without prior knowledge of sensor models and environment is a challenging unsupervised learning problem. Current machine learning methods process new sensory data using prior knowledge defined by either domain knowledge or datasets. When datasets are not available, data acquisition"
681,4,2022,,embodiment generalization robotics,Medical Embodiment:,Intersex Embodiment,10.2307/j.ctv327fvp5.7,https://doi.org/10.2307/j.ctv327fvp5.7,book-chapter,
682,4,2022,,robot tactile perception,Micromanufactured Tactile Samples for Characterization of Rough and Dry Tactile Perception,Micromachines,10.3390/mi13101685,https://doi.org/10.3390/mi13101685,journal-article,"<jats:p>The quantitative characterization of tactile perception, which is crucial in the design of tactile devices, requires the tested samples to have individually and precisely controlled properties associated with the senses. In this work, we microfabricated such tactile samples and then quantitatively characterized tactile perception with a focus on roughness and dryness. In the roughness perception experiments, the tactile samples had a stripe pattern with ridge and groove widths that were "
683,4,2022,,multimodal robot learning,MILD: Multimodal Interactive Latent Dynamics for Learning Human-Robot Interaction,2022 IEEE-RAS 21st International Conference on Humanoid Robots (Humanoids),10.1109/humanoids53995.2022.10000239,https://doi.org/10.1109/humanoids53995.2022.10000239,proceedings-article,
684,4,2022,,robot reinforcement learning,Mobile Robot Navigation Using Deep Reinforcement Learning,Processes,10.3390/pr10122748,https://doi.org/10.3390/pr10122748,journal-article,"<jats:p>Learning how to navigate autonomously in an unknown indoor environment without colliding with static and dynamic obstacles is important for mobile robots. The conventional mobile robot navigation system does not have the ability to learn autonomously. Unlike conventional approaches, this paper proposes an end-to-end approach that uses deep reinforcement learning for autonomous mobile robot navigation in an unknown environment. Two types of deep Q-learning agents, such as deep Q-network a"
685,4,2022,,robot planning learning,Mobile Robot Path Planning Method Based on Deep Reinforcement Learning Algorithm,"Journal of Circuits, Systems and Computers",10.1142/s0218126622502589,https://doi.org/10.1142/s0218126622502589,journal-article,"<jats:p> Path planning is an important part of the research field of mobile robots, and it is the premise for mobile robots to complete complex tasks. This paper proposes a reflective reward design method based on potential energy function, and combines the ideas of multi-agent and multi-task learning to form a new training framework. The reflective reward represents the quality of the agent’s current decision relative to the past historical decision sequence, using the second-order information "
686,4,2022,,robot reinforcement learning,Motion Generation Using Reinforcement Learning for Violinist Robot,The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),10.1299/jsmermd.2022.1p1-j06,https://doi.org/10.1299/jsmermd.2022.1p1-j06,journal-article,
687,4,2022,,robot planning learning,Motion Planning for Human-Robot Collaboration based on Reinforcement Learning,2022 IEEE 18th International Conference on Automation Science and Engineering (CASE),10.1109/case49997.2022.9926471,https://doi.org/10.1109/case49997.2022.9926471,proceedings-article,
688,4,2022,,robot tactile perception,Multidigit tactile perception I: motion integration benefits for tactile trajectories presented bimanually,Journal of Neurophysiology,10.1152/jn.00022.2022,https://doi.org/10.1152/jn.00022.2022,journal-article,"<jats:p>Object manipulation involves encoding spatially and temporally extended tactile signals, yet most studies emphasize minimal units of tactile perception (e.g., selectivity). Instead, we asked participants to average two tactile motion trajectories delivered simultaneously to two different fingerpads. Our results show strong integration between multiple tactile inputs, but subject to limitations for inputs delivered within a hand. As such, the present study establishes a paradigm for study"
689,4,2022,,multimodal robot learning,Multimodal reinforcement learning for partner specific adaptation in robot-multi-robot interaction,2022 IEEE-RAS 21st International Conference on Humanoid Robots (Humanoids),10.1109/humanoids53995.2022.10000205,https://doi.org/10.1109/humanoids53995.2022.10000205,proceedings-article,
690,4,2022,,robot reinforcement learning,Nonholonomic Robot Navigation of Mazes using Reinforcement Learning,"Proceedings of the 19th International Conference on Informatics in Control, Automation and Robotics",10.5220/0011123600003271,https://doi.org/10.5220/0011123600003271,proceedings-article,
691,4,2022,,sim-to-real robotics,Overcoming the Sim-to-Real Gap in Autonomous Robots,Procedia CIRP,10.1016/j.procir.2022.05.251,https://doi.org/10.1016/j.procir.2022.05.251,journal-article,
692,4,2022,,robot planning learning,Path Planning Based on Deep Reinforcement Learning Towards Human-Robot Collaboration,2022 International Electronics Symposium (IES),10.1109/ies55876.2022.9888708,https://doi.org/10.1109/ies55876.2022.9888708,proceedings-article,
693,4,2022,,robot planning learning,Path Planning Method of Mobile Robot Using Improved Deep Reinforcement Learning,Journal of Electrical and Computer Engineering,10.1155/2022/5433988,https://doi.org/10.1155/2022/5433988,journal-article,"<jats:p>A mobile robot path planning method based on improved deep reinforcement learning is proposed. First, in order to conform to the actual kinematics model of the robot, the continuous environmental state space and discrete action state space are designed. In addition, an improved deep Q-network (DQN) method is proposed, which takes the directly collected information as the training samples and combines the environmental state characteristics of the robot and the target point to be reached "
694,4,2022,,robot planning learning,Path Planning of Cleaning Robot with Reinforcement Learning,2022 IEEE International Symposium on Robotic and Sensors Environments (ROSE),10.1109/rose56499.2022.9977430,https://doi.org/10.1109/rose56499.2022.9977430,proceedings-article,
695,4,2022,,robot planning learning,Path Planning of Mobile Robot Using Reinforcement Learning,Journal of Trends in Computer Science and Smart Technology,10.36548/jtcsst.2022.3.004,https://doi.org/10.36548/jtcsst.2022.3.004,journal-article,"<jats:p>In complex planning and control operations and tasks like manipulating objects, assisting experts in various fields, navigating outdoor environments, and exploring uncharted territory, modern robots are designed to complement or completely replace humans. Even for those skilled in robot programming, designing a control schema for such robots to carry out these tasks is typically a challenging process that necessitates starting from scratch with a new and distinct controller for each task"
696,4,2022,,robot 3D perception,Perception of Robot Power: Scale Development,Proceedings of the Human Factors and Ergonomics Society Annual Meeting,10.1177/1071181322661244,https://doi.org/10.1177/1071181322661244,journal-article,"<jats:p>Robots are increasingly utilized to work with humans in collaborative tasks. While there is a growing body of research investigating individual measures that impact human-robot interaction (HRI), to our knowledge, no measure exists to quantify an individual's perception of robot power. How powerful one perceives robots could be a driving factor in an individual's attitudes toward robots and their trust in HRI. This study aims to develop and validate a scale to quantify peoples' general p"
697,4,2022,,contact-rich manipulation,Proteomic mapping and optogenetic manipulation of membrane contact sites,Biochemical Journal,10.1042/bcj20220382,https://doi.org/10.1042/bcj20220382,journal-article,"<jats:p>Membrane contact sites (MCSs) mediate crucial physiological processes in eukaryotic cells, including ion signaling, lipid metabolism, and autophagy. Dysregulation of MCSs is closely related to various diseases, such as type 2 diabetes mellitus (T2DM), neurodegenerative diseases, and cancers. Visualization, proteomic mapping and manipulation of MCSs may help the dissection of the physiology and pathology MCSs. Recent technical advances have enabled better understanding of the dynamics and"
698,4,2022,,contact-rich manipulation,Quasistatic contact-rich manipulation via linear complementarity quadratic programming,2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros47612.2022.9981498,https://doi.org/10.1109/iros47612.2022.9981498,proceedings-article,
699,4,2022,,robot control learning,Reinforcement Learning based Control of a Quadruped Robot,2022 IEEE 19th India Council International Conference (INDICON),10.1109/indicon56171.2022.10039800,https://doi.org/10.1109/indicon56171.2022.10039800,proceedings-article,
700,4,2022,,robot control learning,Reinforcement Learning Based Robot Control,2022 IEEE 16th International Conference on Application of Information and Communication Technologies (AICT),10.1109/aict55583.2022.10013595,https://doi.org/10.1109/aict55583.2022.10013595,proceedings-article,
701,4,2022,,robot reinforcement learning,Reinforcement Learning for Mobile Robot Navigation: An overview,2022 IEEE Information Technologies &amp; Smart Industrial Systems (ITSIS),10.1109/itsis56166.2022.10118362,https://doi.org/10.1109/itsis56166.2022.10118362,proceedings-article,
702,4,2022,,robot control learning,Reinforcement Learning for Optimal Robot Control in Complex Environments,Korea Journal on Machine Learning and Applications in Robotics,10.59121/kjmlar2209330005,https://doi.org/10.59121/kjmlar2209330005,journal-article,
703,4,2022,,robot reinforcement learning,Reinforcement learning in EEG-based human-robot interaction,Human-Centered Artificial Intelligence,10.1016/b978-0-323-85648-5.00020-7,https://doi.org/10.1016/b978-0-323-85648-5.00020-7,book-chapter,
704,4,2022,,robot planning learning,Reinforcement Learning-Based Safe Path Planning for a 3R Planar Robot,Sakarya University Journal of Science,10.16984/saufenbilder.911942,https://doi.org/10.16984/saufenbilder.911942,journal-article,"<jats:p xml:lang=""en"">Path planning is an essential topic of robotics studies. Robotic researchers have suggested some methods such as particle swarm optimization, A*, and reinforcement learning (RL) to obtain a path. In the current study, it was aimed to generate RL-based safe path planning for a 3R planar robot. For this purpose, firstly, the environment was performed. Later, state, action, reward, and terminate functions were determined. Lastly, actor and critic artificial neural networks (AN"
705,4,2022,,contact-rich manipulation,Residual Learning From Demonstration: Adapting DMPs for Contact-Rich Manipulation,IEEE Robotics and Automation Letters,10.1109/lra.2022.3150024,https://doi.org/10.1109/lra.2022.3150024,journal-article,
706,4,2022,,contact-rich manipulation,RMPs for Safe Impedance Control in Contact-Rich Manipulation,2022 International Conference on Robotics and Automation (ICRA),10.1109/icra46639.2022.9811986,https://doi.org/10.1109/icra46639.2022.9811986,proceedings-article,
707,4,2022,,robot planning learning,Robot Path Planning Based on Deep Reinforcement Learning,2022 34th Chinese Control and Decision Conference (CCDC),10.1109/ccdc55256.2022.10034095,https://doi.org/10.1109/ccdc55256.2022.10034095,proceedings-article,
708,4,2022,,robot planning learning,Robot Path Planning Based on Improved Reinforcement Learning,"Advances in Transdisciplinary Engineering Applied Mathematics, Modeling and Computer Simulation",10.3233/atde220046,https://doi.org/10.3233/atde220046,book-chapter,"<jats:p>With the continuous progress and development of robotics, mobile robots have been widely used in many different fields. In the power grid, mobile robots are used to inspect electrical equipment, which greatly reduce the investment of manpower and material resources. However, in many cases, mobile robots need to work in a constantly changing and complex environment. Because they cannot obtain environmental information in time, it is often difficult to make path planning. In response to th"
709,4,2022,,robot planning learning,Robot Search Path Planning Method Based on Prioritized Deep Reinforcement Learning,"International Journal of Control, Automation and Systems",10.1007/s12555-020-0788-8,https://doi.org/10.1007/s12555-020-0788-8,journal-article,
710,4,2022,,imitation learning robotics,Robotics in construction: A critical review of the reinforcement learning and imitation learning paradigms,Advanced Engineering Informatics,10.1016/j.aei.2022.101787,https://doi.org/10.1016/j.aei.2022.101787,journal-article,
711,4,2022,,robot reinforcement learning,Safe Robot Navigation Using Constrained Hierarchical Reinforcement Learning,2022 21st IEEE International Conference on Machine Learning and Applications (ICMLA),10.1109/icmla55696.2022.00123,https://doi.org/10.1109/icmla55696.2022.00123,proceedings-article,
